conferenza_id,id,giocante_a_id,giocante_b_id,set_a,set_b,punti_a_set_1,punti_b_set_1,punti_a_set_2,punti_b_set_2,stato
adriatic-a,ada-001,anubi,ka,1,1,50,0,0,50,giocata
adriatic-a,ada-002,anubi,kenzu,1,1,50,47,42,50,giocata
adriatic-a,ada-003,sanjibbone,sempre,1,1,50,40,30,50,giocata
adriatic-a,ada-004,sanjibbone,ka,2,0,50,0,50,0,giocata
adriatic-a,ada-005,sanjibbone,kenzu,1,1,41,50,50,0,giocata
adriatic-a,ada-006,sempre,ka,2,0,50,0,50,0,giocata
adriatic-a,ada-007,sempre,kenzu,1,1,44,50,50,42,giocata
adriatic-a,ada-008,ka,kenzu,0,2,27,50,35,50,giocata
adriatic-a,ada-009,barbara,kenzu,2,0,50,0,50,15,giocata
adriatic-a,ada-010,barbara,anubi,2,0,50,0,50,0,giocata
adriatic-a,ada-011,barbara,dilegno,0,2,30,50,0,50,giocata
adriatic-a,ada-012,barbara,armadilly,1,1,38,50,50,0,giocata
adriatic-a,ada-013,barbara,jonnino,2,0,50,36,50,21,giocata
adriatic-a,ada-014,barbara,sanjibbone,1,1,45,50,50,38,giocata
adriatic-a,ada-015,barbara,ka,2,0,50,46,50,39,giocata
adriatic-a,ada-016,barbara,sempre,1,1,0,50,50,0,giocata
adriatic-a,ada-017,kenzu,dilegno,1,1,36,50,50,47,giocata
adriatic-a,ada-018,kenzu,armadilly,2,0,50,37,50,25,giocata
adriatic-a,ada-019,kenzu,jonnino,1,1,50,41,42,50,giocata
adriatic-a,ada-020,anubi,dilegno,0,2,43,50,41,50,giocata
adriatic-a,ada-021,anubi,armadilly,1,1,50,29,46,50,giocata
adriatic-a,ada-022,anubi,jonnino,0,2,36,50,40,50,giocata
adriatic-a,ada-023,anubi,sanjibbone,0,2,33,50,26,50,giocata
adriatic-a,ada-024,anubi,sempre,0,2,0,50,0,50,giocata
adriatic-a,ada-025,dilegno,armadilly,2,0,50,35,50,41,giocata
adriatic-a,ada-026,dilegno,jonnino,1,1,50,19,39,50,giocata
adriatic-a,ada-027,dilegno,sanjibbone,1,1,50,45,38,50,giocata
adriatic-a,ada-028,dilegno,ka,2,0,50,0,50,0,giocata
adriatic-a,ada-029,dilegno,sempre,1,1,50,25,25,50,giocata
adriatic-a,ada-030,armadilly,jonnino,0,2,28,50,40,50,giocata
adriatic-a,ada-031,armadilly,sanjibbone,0,2,38,50,17,50,giocata
adriatic-a,ada-032,armadilly,ka,2,0,50,0,50,0,giocata
adriatic-a,ada-033,armadilly,sempre,0,2,25,50,40,50,giocata
adriatic-a,ada-034,jonnino,sanjibbone,1,1,50,42,39,50,giocata
adriatic-a,ada-035,jonnino,ka,2,0,50,0,50,0,giocata
adriatic-a,ada-036,jonnino,sempre,1,1,50,36,0,50,giocata
