conferenza_id,id,giocante_a_id,giocante_b_id,set_a,set_b,punti_a_set_1,punti_b_set_1,punti_a_set_2,punti_b_set_2,stato
adriatic-b,adb-001,plastilino,fileri,1,1,10,50,50,37,giocata
adriatic-b,adb-002,plastilino,el-diton,2,0,50,49,50,9,giocata
adriatic-b,adb-003,plastilino,la-megghy,2,0,50,27,50,27,giocata
adriatic-b,adb-004,plastilino,moz,1,1,50,36,38,50,giocata
adriatic-b,adb-005,plastilino,nick-lo-squartatore,2,0,50,21,50,0,giocata
adriatic-b,adb-006,plastilino,luca,1,1,50,47,32,50,giocata
adriatic-b,adb-007,plastilino,lalelale,2,0,50,39,50,47,giocata
adriatic-b,adb-008,fileri,el-diton,1,1,39,50,50,49,giocata
adriatic-b,adb-009,fileri,la-megghy,2,0,50,14,50,14,giocata
adriatic-b,adb-010,fileri,moz,1,1,50,44,38,50,giocata
adriatic-b,adb-011,fileri,nick-lo-squartatore,2,0,50,0,50,0,giocata
adriatic-b,adb-012,fileri,luca,1,1,50,29,39,50,giocata
adriatic-b,adb-013,fileri,lalelale,2,0,50,45,50,45,giocata
adriatic-b,adb-014,el-diton,la-megghy,0,2,44,50,38,50,giocata
adriatic-b,adb-015,el-diton,moz,0,2,0,50,0,50,giocata
adriatic-b,adb-016,el-diton,nick-lo-squartatore,2,0,50,35,50,40,giocata
adriatic-b,adb-017,el-diton,luca,0,2,30,50,43,50,giocata
adriatic-b,adb-018,el-diton,lalelale,0,2,45,50,48,50,giocata
adriatic-b,adb-019,la-megghy,moz,1,1,50,31,39,50,giocata
adriatic-b,adb-020,la-megghy,nick-lo-squartatore,2,0,50,40,50,42,giocata
adriatic-b,adb-021,la-megghy,luca,1,1,50,45,31,50,giocata
adriatic-b,adb-022,la-megghy,lalelale,1,1,49,50,50,17,giocata
adriatic-b,adb-023,moz,nick-lo-squartatore,2,0,50,23,50,44,giocata
adriatic-b,adb-024,moz,luca,2,0,50,15,50,38,giocata
adriatic-b,adb-025,moz,lalelale,2,0,50,28,50,23,giocata
adriatic-b,adb-026,nick-lo-squartatore,luca,0,2,37,50,32,50,giocata
adriatic-b,adb-027,nick-lo-squartatore,lalelale,1,1,50,31,34,50,giocata
adriatic-b,adb-028,luca,lalelale,1,1,50,32,37,50,giocata
