conferenza_id,id,nome,squadra,foto_url,iniziale,colore_avatar,motto
balera,dinamitarda,Dinamitarda,Balera Mölkky,,D,#5b4500,Fuoco alle polveri!
balera,antide,Antide,Balera Mölkky,,A,#5b4500,"Un lancio alla volta, un molkky alla volta, un dodici alla volta"
balera,pravda,Pravda,Balera Mölkky,,P,#5b4500,Ssssssfumeggiante!
balera,uliano,Uliano,Balera Mölkky,,U,#5b4500,Per fare una frittata bisogna rompere delle uova
balera,johnny-the-great,Johnny The Great,Balera Mölkky,,JT,#5b4500,
balera,ferra,Ferra,Balera Mölkky,,F,#5b4500,Ma io cosa ne so
balera,trapstar,Trapstar,Balera Mölkky,,T,#5b4500,/
balera,adnan,Adnan,Balera Mölkky,,A,#5b4500,/
balera,gujar,GuJar,Balera Mölkky,,G,#5b4500,/
balera,polita,Polita,Balera Mölkky,,P,#5b4500,fake it 'till you make it
