conferenza_id,id,giocante_a_id,giocante_b_id,set_a,set_b,punti_a_set_1,punti_b_set_1,punti_a_set_2,punti_b_set_2,stato
balera,bal-001,dinamitarda,antide,2,0,50,49,50,24,giocata
balera,bal-002,dinamitarda,pravda,1,1,49,50,50,38,giocata
balera,bal-003,dinamitarda,uliano,,,,,,,da_giocare
balera,bal-004,dinamitarda,johnny-the-great,1,1,50,42,32,50,giocata
balera,bal-005,dinamitarda,ferra,1,1,50,28,29,50,giocata
balera,bal-006,dinamitarda,trapstar,0,2,25,50,49,50,giocata
balera,bal-007,dinamitarda,adnan,1,1,50,25,43,50,giocata
balera,bal-008,dinamitarda,gujar,1,1,50,42,40,50,giocata
balera,bal-009,dinamitarda,polita,1,1,50,26,37,50,giocata
balera,bal-010,antide,pravda,0,2,43,50,46,50,giocata
balera,bal-011,antide,uliano,,,,,,,da_giocare
balera,bal-012,antide,johnny-the-great,0,2,34,50,27,50,giocata
balera,bal-013,antide,ferra,1,1,50,36,45,50,giocata
balera,bal-014,antide,trapstar,0,2,14,50,27,50,giocata
balera,bal-015,antide,adnan,1,1,50,40,33,50,giocata
balera,bal-016,antide,gujar,0,2,23,50,20,50,giocata
balera,bal-017,antide,polita,2,0,50,29,50,0,giocata
balera,bal-018,pravda,uliano,,,,,,,da_giocare
balera,bal-019,pravda,johnny-the-great,2,0,50,30,50,25,giocata
balera,bal-020,pravda,ferra,0,2,35,50,32,50,giocata
balera,bal-021,pravda,trapstar,1,1,50,32,40,50,giocata
balera,bal-022,pravda,adnan,,,,,,,da_giocare
balera,bal-023,pravda,gujar,0,2,45,50,45,50,giocata
balera,bal-024,pravda,polita,,,,,,,da_giocare
balera,bal-025,uliano,johnny-the-great,,,,,,,da_giocare
balera,bal-026,uliano,ferra,,,,,,,da_giocare
balera,bal-027,uliano,trapstar,,,,,,,da_giocare
balera,bal-028,uliano,adnan,,,,,,,da_giocare
balera,bal-029,uliano,gujar,,,,,,,da_giocare
balera,bal-030,uliano,polita,,,,,,,da_giocare
balera,bal-031,johnny-the-great,ferra,1,1,50,24,38,50,giocata
balera,bal-032,johnny-the-great,trapstar,2,0,50,41,50,23,giocata
balera,bal-033,johnny-the-great,adnan,1,1,41,50,50,32,giocata
balera,bal-034,johnny-the-great,gujar,1,1,50,46,28,50,giocata
balera,bal-035,johnny-the-great,polita,2,0,50,42,50,39,giocata
balera,bal-036,ferra,trapstar,2,0,50,32,50,0,giocata
balera,bal-037,ferra,adnan,1,1,39,50,50,42,giocata
balera,bal-038,ferra,gujar,1,1,29,50,50,22,giocata
balera,bal-039,ferra,polita,1,1,44,50,50,30,giocata
balera,bal-040,trapstar,adnan,1,1,43,50,50,35,giocata
balera,bal-041,trapstar,gujar,1,1,37,50,50,25,giocata
balera,bal-042,trapstar,polita,2,0,50,44,50,13,giocata
balera,bal-043,adnan,gujar,0,2,38,50,34,50,giocata
balera,bal-044,adnan,polita,2,0,50,13,50,25,giocata
balera,bal-045,gujar,polita,2,0,50,40,50,31,giocata
