conferenza_id,id,giocante_a_id,giocante_b_id,set_a,set_b,punti_a_set_1,punti_b_set_1,punti_a_set_2,punti_b_set_2,stato
bellomolchi-a,bma-001,brt,erminio,1,1,50,7,27,50,giocata
bellomolchi-a,bma-002,ruco,jakpotpot,2,0,50,0,50,0,giocata
bellomolchi-a,bma-003,ruco,gabrisky-point,2,0,50,22,50,18,giocata
bellomolchi-a,bma-004,ruco,erminio,1,1,16,50,50,30,giocata
bellomolchi-a,bma-005,brt,ruco,0,2,41,50,44,50,giocata
bellomolchi-a,bma-006,jakpotpot,erminio,1,1,50,47,30,50,giocata
bellomolchi-a,bma-007,gabrisky-point,erminio,0,2,45,50,17,50,giocata
bellomolchi-a,bma-008,gerri,ruco,,,,,,,da_giocare
bellomolchi-a,bma-009,gerri,bender,,,,,,,da_giocare
bellomolchi-a,bma-010,gerri,solo-franz,,,,,,,da_giocare
bellomolchi-a,bma-011,gerri,jakpotpot,,,,,,,da_giocare
bellomolchi-a,bma-012,gerri,nicola-crivis,,,,,,,da_giocare
bellomolchi-a,bma-013,ruco,nicola-crivis,,,,,,,da_giocare
bellomolchi-a,bma-014,ruco,bender,,,,,,,da_giocare
bellomolchi-a,bma-015,ruco,solo-franz,,,,,,,da_giocare
bellomolchi-a,bma-016,erminio,gerri,,,,,,,da_giocare
bellomolchi-a,bma-017,erminio,nicola-crivis,,,,,,,da_giocare
bellomolchi-a,bma-018,erminio,bender,,,,,,,da_giocare
bellomolchi-a,bma-019,erminio,solo-franz,,,,,,,da_giocare
bellomolchi-a,bma-020,brt,jakpotpot,,,,,,,da_giocare
bellomolchi-a,bma-021,brt,gabrisky-point,,,,,,,da_giocare
bellomolchi-a,bma-022,brt,gerri,,,,,,,da_giocare
bellomolchi-a,bma-023,brt,nicola-crivis,,,,,,,da_giocare
bellomolchi-a,bma-024,brt,bender,,,,,,,da_giocare
bellomolchi-a,bma-025,brt,solo-franz,,,,,,,da_giocare
bellomolchi-a,bma-026,jakpotpot,gabrisky-point,,,,,,,da_giocare
bellomolchi-a,bma-027,jakpotpot,nicola-crivis,,,,,,,da_giocare
bellomolchi-a,bma-028,jakpotpot,bender,,,,,,,da_giocare
bellomolchi-a,bma-029,jakpotpot,solo-franz,,,,,,,da_giocare
bellomolchi-a,bma-030,gabrisky-point,gerri,,,,,,,da_giocare
bellomolchi-a,bma-031,gabrisky-point,nicola-crivis,,,,,,,da_giocare
bellomolchi-a,bma-032,gabrisky-point,bender,,,,,,,da_giocare
bellomolchi-a,bma-033,gabrisky-point,solo-franz,,,,,,,da_giocare
bellomolchi-a,bma-034,nicola-crivis,bender,,,,,,,da_giocare
bellomolchi-a,bma-035,nicola-crivis,solo-franz,,,,,,,da_giocare
bellomolchi-a,bma-036,bender,solo-franz,,,,,,,da_giocare
