conferenza_id,id,giocante_a_id,giocante_b_id,set_a,set_b,punti_a_set_1,punti_b_set_1,punti_a_set_2,punti_b_set_2,stato
bellomolchi-b,bmb-001,coach,toth,0,2,36,43,50,50,giocata
bellomolchi-b,bmb-002,danny,toth,1,1,0,50,50,34,giocata
bellomolchi-b,bmb-003,toth,lo-sciamanosss,,,,,,,da_giocare
bellomolchi-b,bmb-004,toth,first-lady-bellomolchi,,,,,,,da_giocare
bellomolchi-b,bmb-005,toth,antonello,,,,,,,da_giocare
bellomolchi-b,bmb-006,toth,lip4z,,,,,,,da_giocare
bellomolchi-b,bmb-007,toth,rosbu,,,,,,,da_giocare
bellomolchi-b,bmb-008,toth,pipa,,,,,,,da_giocare
bellomolchi-b,bmb-009,coach,danny,1,1,43,50,50,0,giocata
bellomolchi-b,bmb-010,coach,lo-sciamanosss,1,1,38,50,50,24,giocata
bellomolchi-b,bmb-011,coach,first-lady-bellomolchi,,,,,,,da_giocare
bellomolchi-b,bmb-012,coach,antonello,,,,,,,da_giocare
bellomolchi-b,bmb-013,coach,lip4z,,,,,,,da_giocare
bellomolchi-b,bmb-014,coach,rosbu,,,,,,,da_giocare
bellomolchi-b,bmb-015,coach,pipa,,,,,,,da_giocare
bellomolchi-b,bmb-016,danny,lo-sciamanosss,,,,,,,da_giocare
bellomolchi-b,bmb-017,danny,first-lady-bellomolchi,,,,,,,da_giocare
bellomolchi-b,bmb-018,danny,antonello,,,,,,,da_giocare
bellomolchi-b,bmb-019,danny,lip4z,,,,,,,da_giocare
bellomolchi-b,bmb-020,danny,rosbu,,,,,,,da_giocare
bellomolchi-b,bmb-021,danny,pipa,,,,,,,da_giocare
bellomolchi-b,bmb-022,lo-sciamanosss,first-lady-bellomolchi,,,,,,,da_giocare
bellomolchi-b,bmb-023,lo-sciamanosss,antonello,,,,,,,da_giocare
bellomolchi-b,bmb-024,lo-sciamanosss,lip4z,,,,,,,da_giocare
bellomolchi-b,bmb-025,lo-sciamanosss,rosbu,,,,,,,da_giocare
bellomolchi-b,bmb-026,lo-sciamanosss,pipa,,,,,,,da_giocare
bellomolchi-b,bmb-027,first-lady-bellomolchi,antonello,,,,,,,da_giocare
bellomolchi-b,bmb-028,first-lady-bellomolchi,lip4z,,,,,,,da_giocare
bellomolchi-b,bmb-029,first-lady-bellomolchi,rosbu,,,,,,,da_giocare
bellomolchi-b,bmb-030,first-lady-bellomolchi,pipa,,,,,,,da_giocare
bellomolchi-b,bmb-031,antonello,lip4z,,,,,,,da_giocare
bellomolchi-b,bmb-032,antonello,rosbu,,,,,,,da_giocare
bellomolchi-b,bmb-033,antonello,pipa,,,,,,,da_giocare
bellomolchi-b,bmb-034,lip4z,rosbu,,,,,,,da_giocare
bellomolchi-b,bmb-035,lip4z,pipa,,,,,,,da_giocare
bellomolchi-b,bmb-036,rosbu,pipa,,,,,,,da_giocare
