conferenza_id,id,nome,squadra,foto_url,iniziale,colore_avatar,motto
emiliana,eros,Eros,L'Emiliana Mölkky,,E,#5b4500,"Se non puoi convincere, sparaglia!"
emiliana,despota,DespotA,L'Emiliana Mölkky,,D,#5b4500,Spakka tutto!
emiliana,pier,Pier,L'Emiliana Mölkky,,P,#5b4500,Non ho un motto!
emiliana,stuglola,Stuglola,L'Emiliana Mölkky A,,S,#5b4500,...
emiliana,ahi-maria,ahi.maria,L'Emiliana Mölkky A,,A,#5b4500,Daje
emiliana,fioreincoma,Fioreincoma,L'Emiliana Mölkky B,,F,#5b4500,Rimani così che lo sei
emiliana,codroipo,Codroipo,L'Emiliana Mölkky B,,C,#5b4500,Avanti sempre fino alla leggerezza dei giorni sereni!
emiliana,lucia,Lucia,L'Emiliana Mölkky,,L,#5b4500,sono troppo didascalica per i motti
emiliana,edo,Edo,L'Emiliana Mölkky,,E,#5b4500,Tiro a Campari
emiliana,kamunia-paranoica,Kamunia Paranoica,L'Emiliana Mölkky,,K,#5b4500,"Al pòm piò bël, al và an'boca al porsël"
