conferenza_id,id,giocante_a_id,giocante_b_id,set_a,set_b,punti_a_set_1,punti_b_set_1,punti_a_set_2,punti_b_set_2,stato
emiliana,emi-001,eros,pier,2,0,50,25,50,48,giocata
emiliana,emi-002,stuglola,despota,0,2,35,50,37,50,giocata
emiliana,emi-003,eros,edo,,,,,,,da_giocare
emiliana,emi-004,eros,kamunia-paranoica,,,,,,,da_giocare
emiliana,emi-005,eros,fioreincoma,,,,,,,da_giocare
emiliana,emi-006,eros,despota,,,,,,,da_giocare
emiliana,emi-007,stuglola,lucia,,,,,,,da_giocare
emiliana,emi-008,kamunia-paranoica,fioreincoma,,,,,,,da_giocare
emiliana,emi-009,kamunia-paranoica,despota,,,,,,,da_giocare
emiliana,emi-010,pier,fioreincoma,,,,,,,da_giocare
emiliana,emi-011,pier,despota,,,,,,,da_giocare
emiliana,emi-012,fioreincoma,despota,,,,,,,da_giocare
emiliana,emi-013,eros,stuglola,,,,,,,da_giocare
emiliana,emi-014,eros,ahi-maria,,,,,,,da_giocare
emiliana,emi-015,eros,codroipo,,,,,,,da_giocare
emiliana,emi-016,eros,lucia,,,,,,,da_giocare
emiliana,emi-017,despota,ahi-maria,,,,,,,da_giocare
emiliana,emi-018,despota,codroipo,,,,,,,da_giocare
emiliana,emi-019,despota,lucia,,,,,,,da_giocare
emiliana,emi-020,despota,edo,,,,,,,da_giocare
emiliana,emi-021,pier,stuglola,,,,,,,da_giocare
emiliana,emi-022,pier,ahi-maria,,,,,,,da_giocare
emiliana,emi-023,pier,codroipo,,,,,,,da_giocare
emiliana,emi-024,pier,lucia,,,,,,,da_giocare
emiliana,emi-025,pier,edo,,,,,,,da_giocare
emiliana,emi-026,pier,kamunia-paranoica,,,,,,,da_giocare
emiliana,emi-027,stuglola,ahi-maria,,,,,,,da_giocare
emiliana,emi-028,stuglola,fioreincoma,,,,,,,da_giocare
emiliana,emi-029,stuglola,codroipo,,,,,,,da_giocare
emiliana,emi-030,stuglola,edo,,,,,,,da_giocare
emiliana,emi-031,stuglola,kamunia-paranoica,,,,,,,da_giocare
emiliana,emi-032,ahi-maria,fioreincoma,,,,,,,da_giocare
emiliana,emi-033,ahi-maria,codroipo,,,,,,,da_giocare
emiliana,emi-034,ahi-maria,lucia,,,,,,,da_giocare
emiliana,emi-035,ahi-maria,edo,,,,,,,da_giocare
emiliana,emi-036,ahi-maria,kamunia-paranoica,,,,,,,da_giocare
emiliana,emi-037,fioreincoma,codroipo,,,,,,,da_giocare
emiliana,emi-038,fioreincoma,lucia,,,,,,,da_giocare
emiliana,emi-039,fioreincoma,edo,,,,,,,da_giocare
emiliana,emi-040,codroipo,lucia,,,,,,,da_giocare
emiliana,emi-041,codroipo,edo,,,,,,,da_giocare
emiliana,emi-042,codroipo,kamunia-paranoica,,,,,,,da_giocare
emiliana,emi-043,lucia,edo,,,,,,,da_giocare
emiliana,emi-044,lucia,kamunia-paranoica,,,,,,,da_giocare
emiliana,emi-045,edo,kamunia-paranoica,,,,,,,da_giocare
