conferenza_id,id,nome,squadra,foto_url,iniziale,colore_avatar,motto
flus,njko,Njko,FLuS,,N,#5b4500,
flus,malvasia,Malvasia,FLuS,,M,#5b4500,
flus,chardonnay,Chardonnay,FLuS,,C,#5b4500,
flus,barnag,Barnag,FLuS,,B,#5b4500,
flus,utopia,Utopia,FLuS,,U,#5b4500,"Ogni mês si fâs la lune, ogni dì s'impare une"
flus,spagna,Spagna,FLuS,,S,#5b4500,
flus,davide,Davide,FLuS,,D,#5b4500,
flus,criu,CRIU,FLuS,,C,#5b4500,"A mali estremi, bevi e rimedi"
flus,marshall,Marshall,FLuS,,M,#5b4500,
flus,ciaci,Ciaci,FLuS,,C,#5b4500,
