conferenza_id,id,giocante_a_id,giocante_b_id,set_a,set_b,punti_a_set_1,punti_b_set_1,punti_a_set_2,punti_b_set_2,stato
flus,flu-001,malvasia,barnag,1,1,39,50,50,25,giocata
flus,flu-002,malvasia,njko,1,1,50,27,40,50,giocata
flus,flu-003,utopia,chardonnay,1,1,46,50,50,35,giocata
flus,flu-004,chardonnay,njko,1,1,0,50,50,44,giocata
flus,flu-005,barnag,njko,1,1,50,0,0,50,giocata
flus,flu-006,malvasia,chardonnay,,,,,,,da_giocare
flus,flu-007,malvasia,spagna,,,,,,,da_giocare
flus,flu-008,marshall,ciaci,,,,,,,da_giocare
flus,flu-009,marshall,davide,,,,,,,da_giocare
flus,flu-010,davide,ciaci,,,,,,,da_giocare
flus,flu-011,davide,chardonnay,,,,,,,da_giocare
flus,flu-012,ciaci,barnag,,,,,,,da_giocare
flus,flu-013,ciaci,spagna,,,,,,,da_giocare
flus,flu-014,ciaci,njko,,,,,,,da_giocare
flus,flu-015,chardonnay,barnag,,,,,,,da_giocare
flus,flu-016,chardonnay,spagna,,,,,,,da_giocare
flus,flu-017,barnag,spagna,,,,,,,da_giocare
flus,flu-018,spagna,njko,,,,,,,da_giocare
flus,flu-019,njko,utopia,,,,,,,da_giocare
flus,flu-020,njko,davide,,,,,,,da_giocare
flus,flu-021,njko,criu,,,,,,,da_giocare
flus,flu-022,njko,marshall,,,,,,,da_giocare
flus,flu-023,malvasia,utopia,,,,,,,da_giocare
flus,flu-024,malvasia,davide,,,,,,,da_giocare
flus,flu-025,malvasia,criu,,,,,,,da_giocare
flus,flu-026,malvasia,marshall,,,,,,,da_giocare
flus,flu-027,malvasia,ciaci,,,,,,,da_giocare
flus,flu-028,chardonnay,criu,,,,,,,da_giocare
flus,flu-029,chardonnay,marshall,,,,,,,da_giocare
flus,flu-030,chardonnay,ciaci,,,,,,,da_giocare
flus,flu-031,barnag,utopia,,,,,,,da_giocare
flus,flu-032,barnag,davide,,,,,,,da_giocare
flus,flu-033,barnag,criu,,,,,,,da_giocare
flus,flu-034,barnag,marshall,,,,,,,da_giocare
flus,flu-035,utopia,spagna,,,,,,,da_giocare
flus,flu-036,utopia,davide,,,,,,,da_giocare
flus,flu-037,utopia,criu,,,,,,,da_giocare
flus,flu-038,utopia,marshall,,,,,,,da_giocare
flus,flu-039,utopia,ciaci,,,,,,,da_giocare
flus,flu-040,spagna,davide,,,,,,,da_giocare
flus,flu-041,spagna,criu,,,,,,,da_giocare
flus,flu-042,spagna,marshall,,,,,,,da_giocare
flus,flu-043,davide,criu,,,,,,,da_giocare
flus,flu-044,criu,marshall,,,,,,,da_giocare
flus,flu-045,criu,ciaci,,,,,,,da_giocare
