conferenza_id,id,nome,squadra,foto_url,iniziale,colore_avatar,motto
jattalavoro,ricbardo,RicBardo,Dopolavoro Mölkky,,R,#5b4500,"Se fossi gatto, miao. Se fossi cane, bau. Se fosse tardi, ciao."
jattalavoro,santo,Santo,Dopolavoro Mölkky,,S,#5b4500,L'unica cosa positiva in questo secolo è il Mölkky e la creazione della Giostra Individuale.
jattalavoro,jimbo-limbo,Jimbo Limbo,Dopolavoro Mölkky,,J,#5b4500,A chi tocca nun se ngrugna
jattalavoro,craxi666,Craxi666,Jättäləɵ Mölkky,,C,#5b4500,È una volpe. Ma prima o poi tutte le volpi finiscono in pellicceria.
jattalavoro,pacmark,pacmark,Pappamölkky,,P,#5b4500,pello di potto
jattalavoro,jimmy,Jimmy,Dopolavoro Mölkky,,J,#5b4500,"Quando sei in dubbio, prova un tiro Jules-Friedman."
jattalavoro,lordus,Lordus,Dopolavoro Mölkky,,L,#5b4500,Schiuppite!!!!
jattalavoro,buffalmacco,Buffalmacco,Dopolavoro Mölkky,,B,#5b4500,Pippo Baudo è un professionista
jattalavoro,jihadista-dadaista,Jihadista Dadaista,Jättäləɵ Mölkky,,J,#5b4500,لو كان هناك قليل من الخير في العالم، ولو اعتبر الجميع بعضهم بعضاً إخوة، لكانت الهموم أقل والألم أقل، ولكان العالم أجمل بكثير.
jattalavoro,giuliezza,Giuliezza,Dopolavoro Mölkky,,G,#5b4500,È arrivato il Papa nero!
