conferenza_id,id,giocante_a_id,giocante_b_id,set_a,set_b,punti_a_set_1,punti_b_set_1,punti_a_set_2,punti_b_set_2,stato
jattalavoro,jat-001,pacmark,lordus,1,1,50,45,44,50,giocata
jattalavoro,jat-002,craxi666,lordus,2,0,50,38,50,0,giocata
jattalavoro,jat-003,ricbardo,pacmark,2,0,50,48,50,32,giocata
jattalavoro,jat-004,santo,buffalmacco,2,0,50,37,50,25,giocata
jattalavoro,jat-005,santo,craxi666,1,1,30,50,50,29,giocata
jattalavoro,jat-006,jimbo-limbo,buffalmacco,2,0,50,38,50,0,giocata
jattalavoro,jat-007,jimbo-limbo,ricbardo,1,1,25,50,50,39,giocata
jattalavoro,jat-008,jimbo-limbo,pacmark,1,1,50,39,33,50,giocata
jattalavoro,jat-009,buffalmacco,lordus,1,1,42,50,50,46,giocata
jattalavoro,jat-010,jimmy,craxi666,2,0,50,22,50,17,giocata
jattalavoro,jat-011,jimmy,ricbardo,0,2,36,50,44,50,giocata
jattalavoro,jat-012,santo,jimmy,2,0,50,33,50,31,giocata
jattalavoro,jat-013,pacmark,jihadista-dadaista,,,,,,,da_giocare
jattalavoro,jat-014,pacmark,giuliezza,,,,,,,da_giocare
jattalavoro,jat-015,lordus,jihadista-dadaista,,,,,,,da_giocare
jattalavoro,jat-016,lordus,giuliezza,,,,,,,da_giocare
jattalavoro,jat-017,jihadista-dadaista,giuliezza,,,,,,,da_giocare
jattalavoro,jat-018,craxi666,jihadista-dadaista,,,,,,,da_giocare
jattalavoro,jat-019,craxi666,giuliezza,,,,,,,da_giocare
jattalavoro,jat-020,ricbardo,lordus,,,,,,,da_giocare
jattalavoro,jat-021,ricbardo,jihadista-dadaista,,,,,,,da_giocare
jattalavoro,jat-022,santo,ricbardo,,,,,,,da_giocare
jattalavoro,jat-023,santo,pacmark,,,,,,,da_giocare
jattalavoro,jat-024,santo,lordus,,,,,,,da_giocare
jattalavoro,jat-025,jimbo-limbo,jimmy,,,,,,,da_giocare
jattalavoro,jat-026,jimbo-limbo,craxi666,,,,,,,da_giocare
jattalavoro,jat-027,jimbo-limbo,lordus,,,,,,,da_giocare
jattalavoro,jat-028,ricbardo,craxi666,,,,,,,da_giocare
jattalavoro,jat-029,ricbardo,buffalmacco,,,,,,,da_giocare
jattalavoro,jat-030,ricbardo,giuliezza,,,,,,,da_giocare
jattalavoro,jat-031,santo,jimbo-limbo,,,,,,,da_giocare
jattalavoro,jat-032,santo,jihadista-dadaista,,,,,,,da_giocare
jattalavoro,jat-033,santo,giuliezza,,,,,,,da_giocare
jattalavoro,jat-034,jimbo-limbo,jihadista-dadaista,,,,,,,da_giocare
jattalavoro,jat-035,jimbo-limbo,giuliezza,,,,,,,da_giocare
jattalavoro,jat-036,craxi666,pacmark,,,,,,,da_giocare
jattalavoro,jat-037,craxi666,buffalmacco,,,,,,,da_giocare
jattalavoro,jat-038,pacmark,jimmy,,,,,,,da_giocare
jattalavoro,jat-039,pacmark,buffalmacco,,,,,,,da_giocare
jattalavoro,jat-040,jimmy,lordus,,,,,,,da_giocare
jattalavoro,jat-041,jimmy,buffalmacco,,,,,,,da_giocare
jattalavoro,jat-042,jimmy,jihadista-dadaista,,,,,,,da_giocare
jattalavoro,jat-043,jimmy,giuliezza,,,,,,,da_giocare
jattalavoro,jat-044,buffalmacco,jihadista-dadaista,,,,,,,da_giocare
jattalavoro,jat-045,buffalmacco,giuliezza,,,,,,,da_giocare
