conferenza_id,id,nome,squadra,foto_url,iniziale,colore_avatar,motto
satania,flavia-ct,Flavia-CT,Sàtania Mölkky,,F,#5b4500,quanno er mare è calmo ogni stronzo è marinaio
satania,poqi,Poqi,Sàtania Mölkky,,P,#5b4500,
satania,adrianochefamolkky,Adrianochefamolkky,Sàtania Mölkky,,A,#5b4500,
satania,emi,Emi,Sàtania Mölkky,,E,#5b4500,
satania,muscatello,Muscatello,Sàtania Mölkky,,M,#5b4500,
satania,tanopan,TanoPan,Sàtania Mölkky,,T,#5b4500,se lo vuoi fare fallo
satania,chiarulla,Chiarulla,Sàtania Mölkky,,C,#5b4500,
satania,giono,Giono,Sàtania Mölkky,,G,#5b4500,
satania,ste,Ste,Sàtania Mölkky,,S,#5b4500,
satania,valentina,Valentina,Sàtania Mölkky,,V,#5b4500,adesso è adesso
