conferenza_id,id,giocante_a_id,giocante_b_id,set_a,set_b,punti_a_set_1,punti_b_set_1,punti_a_set_2,punti_b_set_2,stato
satania,sat-001,flavia-ct,poqi,,,,,,,da_giocare
satania,sat-002,flavia-ct,adrianochefamolkky,,,,,,,da_giocare
satania,sat-003,flavia-ct,emi,,,,,,,da_giocare
satania,sat-004,flavia-ct,muscatello,,,,,,,da_giocare
satania,sat-005,flavia-ct,tanopan,,,,,,,da_giocare
satania,sat-006,flavia-ct,chiarulla,,,,,,,da_giocare
satania,sat-007,flavia-ct,giono,,,,,,,da_giocare
satania,sat-008,flavia-ct,ste,,,,,,,da_giocare
satania,sat-009,flavia-ct,valentina,,,,,,,da_giocare
satania,sat-010,poqi,adrianochefamolkky,,,,,,,da_giocare
satania,sat-011,poqi,emi,,,,,,,da_giocare
satania,sat-012,poqi,muscatello,,,,,,,da_giocare
satania,sat-013,poqi,tanopan,,,,,,,da_giocare
satania,sat-014,poqi,chiarulla,,,,,,,da_giocare
satania,sat-015,poqi,giono,,,,,,,da_giocare
satania,sat-016,poqi,ste,,,,,,,da_giocare
satania,sat-017,poqi,valentina,,,,,,,da_giocare
satania,sat-018,adrianochefamolkky,emi,,,,,,,da_giocare
satania,sat-019,adrianochefamolkky,muscatello,,,,,,,da_giocare
satania,sat-020,adrianochefamolkky,tanopan,,,,,,,da_giocare
satania,sat-021,adrianochefamolkky,chiarulla,,,,,,,da_giocare
satania,sat-022,adrianochefamolkky,giono,,,,,,,da_giocare
satania,sat-023,adrianochefamolkky,ste,,,,,,,da_giocare
satania,sat-024,adrianochefamolkky,valentina,,,,,,,da_giocare
satania,sat-025,emi,muscatello,,,,,,,da_giocare
satania,sat-026,emi,tanopan,,,,,,,da_giocare
satania,sat-027,emi,chiarulla,,,,,,,da_giocare
satania,sat-028,emi,giono,,,,,,,da_giocare
satania,sat-029,emi,ste,,,,,,,da_giocare
satania,sat-030,emi,valentina,,,,,,,da_giocare
satania,sat-031,muscatello,tanopan,,,,,,,da_giocare
satania,sat-032,muscatello,chiarulla,,,,,,,da_giocare
satania,sat-033,muscatello,giono,,,,,,,da_giocare
satania,sat-034,muscatello,ste,,,,,,,da_giocare
satania,sat-035,muscatello,valentina,,,,,,,da_giocare
satania,sat-036,tanopan,chiarulla,,,,,,,da_giocare
satania,sat-037,tanopan,giono,,,,,,,da_giocare
satania,sat-038,tanopan,ste,,,,,,,da_giocare
satania,sat-039,tanopan,valentina,,,,,,,da_giocare
satania,sat-040,chiarulla,giono,,,,,,,da_giocare
satania,sat-041,chiarulla,ste,,,,,,,da_giocare
satania,sat-042,chiarulla,valentina,,,,,,,da_giocare
satania,sat-043,giono,ste,,,,,,,da_giocare
satania,sat-044,giono,valentina,,,,,,,da_giocare
satania,sat-045,ste,valentina,,,,,,,da_giocare
