conferenza_id,id,nome,squadra,foto_url,iniziale,colore_avatar,motto
tiferno,il-presidente,Il Presidente,Tiferno Mölkky,,I,#5b4500,Articolo 1: Iniziativa!
tiferno,l-indiano,L Indiano,Tiferno Mölkky,,L,#5b4500,Inquilab Zindabad
tiferno,britanniko,Britanniko,Tiferno Mölkky,,B,#5b4500,"Calma calma, molkiappo"
tiferno,melkka,Melkka,Tiferno Mölkky,,M,#5b4500,E così giochi a molkky? si ma niente di serio
tiferno,lo-straniero,Lo Straniero,Tiferno Mölkky,,L,#5b4500,Antani-Zeppiluva
tiferno,pincanaglia,Pincanaglia,Tiferno Mölkky,,P,#5b4500,Smazza e mazzia
tiferno,cip-il-molkkysano,Cip il molkkysano,Tiferno Mölkky,,C,#5b4500,mita Vittu Perkele Molkky
tiferno,pino-pal,Pino Pal,Tiferno Mölkky,,P,#5b4500,Citius Altius Molkkyus
tiferno,hank-scorpio,Hank Scorpio,Tiferno Mölkky,,H,#5b4500,Non gettate oggetti dai finestrini
tiferno,pandu,Pandu,Tiferno Mölkky,,P,#5b4500,so il più forte
