conferenza_id,id,giocante_a_id,giocante_b_id,set_a,set_b,punti_a_set_1,punti_b_set_1,punti_a_set_2,punti_b_set_2,stato
tiferno,tif-001,il-presidente,l-indiano,,,,,,,da_giocare
tiferno,tif-002,il-presidente,britanniko,,,,,,,da_giocare
tiferno,tif-003,il-presidente,melkka,,,,,,,da_giocare
tiferno,tif-004,il-presidente,lo-straniero,,,,,,,da_giocare
tiferno,tif-005,il-presidente,pincanaglia,,,,,,,da_giocare
tiferno,tif-006,il-presidente,cip-il-molkkysano,,,,,,,da_giocare
tiferno,tif-007,il-presidente,pino-pal,,,,,,,da_giocare
tiferno,tif-008,il-presidente,hank-scorpio,,,,,,,da_giocare
tiferno,tif-009,il-presidente,pandu,,,,,,,da_giocare
tiferno,tif-010,l-indiano,britanniko,,,,,,,da_giocare
tiferno,tif-011,l-indiano,melkka,,,,,,,da_giocare
tiferno,tif-012,l-indiano,lo-straniero,,,,,,,da_giocare
tiferno,tif-013,l-indiano,pincanaglia,,,,,,,da_giocare
tiferno,tif-014,l-indiano,cip-il-molkkysano,,,,,,,da_giocare
tiferno,tif-015,l-indiano,pino-pal,,,,,,,da_giocare
tiferno,tif-016,l-indiano,hank-scorpio,,,,,,,da_giocare
tiferno,tif-017,l-indiano,pandu,,,,,,,da_giocare
tiferno,tif-018,britanniko,melkka,,,,,,,da_giocare
tiferno,tif-019,britanniko,lo-straniero,,,,,,,da_giocare
tiferno,tif-020,britanniko,pincanaglia,,,,,,,da_giocare
tiferno,tif-021,britanniko,cip-il-molkkysano,,,,,,,da_giocare
tiferno,tif-022,britanniko,pino-pal,,,,,,,da_giocare
tiferno,tif-023,britanniko,hank-scorpio,,,,,,,da_giocare
tiferno,tif-024,britanniko,pandu,,,,,,,da_giocare
tiferno,tif-025,melkka,lo-straniero,,,,,,,da_giocare
tiferno,tif-026,melkka,pincanaglia,,,,,,,da_giocare
tiferno,tif-027,melkka,cip-il-molkkysano,,,,,,,da_giocare
tiferno,tif-028,melkka,pino-pal,,,,,,,da_giocare
tiferno,tif-029,melkka,hank-scorpio,,,,,,,da_giocare
tiferno,tif-030,melkka,pandu,,,,,,,da_giocare
tiferno,tif-031,lo-straniero,pincanaglia,,,,,,,da_giocare
tiferno,tif-032,lo-straniero,cip-il-molkkysano,,,,,,,da_giocare
tiferno,tif-033,lo-straniero,pino-pal,,,,,,,da_giocare
tiferno,tif-034,lo-straniero,hank-scorpio,,,,,,,da_giocare
tiferno,tif-035,lo-straniero,pandu,,,,,,,da_giocare
tiferno,tif-036,pincanaglia,cip-il-molkkysano,,,,,,,da_giocare
tiferno,tif-037,pincanaglia,pino-pal,,,,,,,da_giocare
tiferno,tif-038,pincanaglia,hank-scorpio,,,,,,,da_giocare
tiferno,tif-039,pincanaglia,pandu,,,,,,,da_giocare
tiferno,tif-040,cip-il-molkkysano,pino-pal,,,,,,,da_giocare
tiferno,tif-041,cip-il-molkkysano,hank-scorpio,,,,,,,da_giocare
tiferno,tif-042,cip-il-molkkysano,pandu,,,,,,,da_giocare
tiferno,tif-043,pino-pal,hank-scorpio,,,,,,,da_giocare
tiferno,tif-044,pino-pal,pandu,,,,,,,da_giocare
tiferno,tif-045,hank-scorpio,pandu,,,,,,,da_giocare
